@relation pam_big

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric

@data
103.5621,11.9143,51.8905
93.4946,11.5491,42.6722
8.2881,24.1443,26.1497
78.3522,88.0105,94.5209
9.5655,16.9201,28.5574
5.8499,19.6274,29.3629
8.0073,16.3186,29.4278
51.7886,53.5078,69.0197
99.5988,13.6390,51.7405
10.8848,15.1862,24.5371
72.5386,70.9084,103.1534
14.0775,20.2724,28.6139
10.4060,21.4030,29.0143
4.8267,18.8597,34.6588
50.0481,51.5108,69.2483
75.2890,84.0259,103.4904
80.1642,81.3500,94.8360
5.0105,19.3149,30.1972
74.0314,72.1411,98.6867
97.9988,15.5262,49.7443
9.4456,20.7680,31.6558
75.4480,73.7832,98.8396
99.6841,8.7396,48.8708
70.3058,77.5901,102.6152
46.9627,53.6000,64.0690
8.9217,21.2390,29.1696
76.5450,85.8415,99.0958
47.1788,49.3271,65.3582
71.6934,77.5441,98.8872
8.3486,20.8205,28.2738
9.6866,19.3934,29.5996
53.2522,51.9588,72.1930
5.4069,22.7493,24.9305
72.7216,81.8782,101.7394
76.4263,80.4862,96.0460
12.5494,22.1968,25.9757
100.1618,12.9756,46.2052
12.7828,19.0463,28.7494
3.4552,20.9947,33.2680
8.8955,23.9491,36.0424
78.9142,83.1805,95.8368
50.0582,50.8906,66.6440
100.1937,4.1848,44.4355
13.0198,20.3586,28.8119
7.0673,15.5583,31.8046
73.1859,76.8555,98.6473
98.7412,10.5574,51.1665
9.9784,24.9917,28.4936
7.9752,17.1679,25.0288
78.6080,79.8820,98.7651
9.1013,17.8848,26.0814
12.5568,16.2457,30.2231
99.8692,11.2640,50.5410
11.8848,18.3052,29.9339
53.6835,55.0143,71.2623
102.0874,8.2567,46.2773
98.9620,13.3355,54.9724
76.1308,79.5850,98.3704
54.9110,46.5787,66.5381
102.4532,10.7455,51.5018
76.5021,76.6085,101.8853
7.2360,15.0594,29.8329
79.0045,78.0932,100.5211
100.3448,12.6639,49.9534
50.7191,50.1666,67.4070
77.3432,80.7362,99.7387
10.1511,16.2708,30.5409
78.4619,80.0619,98.4120
75.6268,78.8299,96.7246
13.6879,20.0222,32.9783
13.1730,21.1813,30.7895
100.7163,14.2295,48.3113
45.4587,52.6564,63.4044
101.3384,9.1864,49.6848
73.2386,83.4256,102.4826
76.4211,81.8334,107.0321
75.8002,76.6475,98.8737
13.4119,16.2094,27.5633
76.5347,77.5327,103.8453
72.5971,86.6174,99.5312
11.1898,20.7600,25.3225
53.6417,50.6320,70.6955
102.4430,11.4682,52.7669
103.2459,9.3574,49.8653
10.5863,12.1334,30.3629
73.8951,80.4169,107.9956
6.5896,20.2101,27.3940
72.4155,86.0354,94.2470
70.9721,79.4185,99.0049
100.5738,11.3645,50.4927
79.9772,81.6955,102.7036
72.0208,81.2240,97.3992
98.5555,8.4187,43.7252
13.5276,22.7139,30.5035
10.2510,16.6237,30.6485
13.6816,20.1057,31.5030
16.4138,17.9593,28.7198
76.7710,79.4200,99.3398
19.1587,19.1027,28.9300
97.3238,11.2389,49.7596
78.7925,80.6444,98.1114
10.3895,17.8458,27.7999
10.0299,21.5063,29.8899
71.0306,82.3567,99.5040
71.6874,83.7882,100.1994
7.8995,20.4253,33.6771
78.5851,77.5954,99.0098
13.6519,23.1908,29.4862
14.5382,22.3979,30.1186
9.0178,14.7473,32.6708
8.8773,16.5881,31.3446
5.4671,21.5937,29.4590
104.2389,11.1557,54.9937
73.5472,82.2057,101.2188
98.7926,10.8702,48.9911
76.6795,81.1857,105.7807
49.2809,48.0851,72.4211
13.2597,22.9487,25.6160
8.6957,21.7918,26.9343
41.9099,49.8022,71.3122
11.5511,17.0592,28.9716
77.2393,81.1378,100.3882
12.9636,24.2069,25.4049
13.1202,20.8116,28.6740
76.4185,78.6130,96.4000
70.3634,76.6298,99.5216
101.4248,9.4681,48.7483
75.0231,76.7855,106.9397
10.1452,20.3682,31.5556
47.9642,47.7298,66.6543
76.9236,78.1574,101.1705
74.7776,83.1691,99.9464
6.6342,19.1694,27.6791
53.0267,54.1008,70.4527
101.7616,9.9390,53.9676
9.9550,20.2469,28.9016
74.2607,80.0881,98.3537
78.5898,77.6117,100.3104
78.3654,81.3396,96.3981
7.7342,22.1341,30.9825
76.0706,82.5109,101.1350
10.3877,22.5241,25.2283
101.8454,10.8256,46.5891
77.2838,78.6522,105.3354
12.9978,17.3562,28.0725
4.3682,18.3705,28.9824
47.2263,52.5853,72.4719
73.2178,78.3649,99.9890
104.9225,6.4785,49.0792
100.0652,12.6817,52.1657
12.0531,20.9938,28.0887
8.3926,23.9552,25.0766
99.5573,11.0050,46.7663
5.6175,23.6067,28.6181
8.1309,18.0048,34.4128
7.3986,24.8976,30.3100
4.6061,16.8429,33.7676
14.0688,19.9291,26.4264
10.8631,21.8815,27.9064
11.3668,19.1557,22.3306
11.6073,22.9239,31.5725
76.9327,78.7067,103.8340
12.7032,24.0800,30.2711
6.8425,20.6245,29.6460
96.0204,14.3577,48.4129
7.6970,19.7791,28.1435
49.2718,48.6949,70.2859
70.3956,73.8733,101.9546
11.8612,24.7502,33.2332
100.2785,12.9662,49.9666
76.6940,79.3687,99.9788
76.5350,74.6509,101.9094
102.3136,12.0277,51.1081
12.5912,14.8344,27.9818
13.0370,20.5811,33.2415
4.6681,21.1998,33.2460
101.3196,7.9683,47.4593
9.4203,17.3968,33.4088
10.6241,13.7115,36.5973
74.6956,84.2590,98.3780
4.0243,17.2697,30.3790
11.7566,19.2062,31.0823
14.1227,21.1266,31.3425
7.1578,15.4619,32.3093
74.7187,75.0254,95.3452
46.4987,51.3407,75.0788
8.3106,19.9772,24.4021
77.4263,73.4694,96.1786
79.0488,82.2614,97.6634
48.9374,48.1119,69.6190
101.6981,11.3785,45.4007
6.4895,17.6131,32.1227
78.9005,84.5258,96.2302
10.9045,18.0187,33.6688
75.3174,75.7871,101.1921
11.8361,19.3548,34.4579
102.2346,15.5990,47.7893
10.2474,15.2627,29.9157
10.2998,19.8680,26.2252
15.3474,21.5043,25.6317
107.8578,14.9279,51.9723
47.9354,43.9946,71.6828
77.5738,75.3253,101.9804
10.4651,17.3905,29.0182
49.7794,42.7129,70.5088
48.7810,53.3926,71.9036
74.1919,77.9864,101.6381
99.3989,13.0027,53.4713
10.0458,21.8880,31.7656
78.5323,80.2300,103.3213
51.1813,49.0752,72.2325
79.2589,79.2467,102.1885
5.4561,17.8607,28.2348
99.7123,9.1832,56.1780
99.2414,9.2098,47.2273
98.8962,11.8499,48.2302
102.0774,7.2727,50.7183
51.8954,51.0638,71.5124
10.1715,24.7038,30.9914
9.6198,20.4196,33.1930
8.8821,21.6883,31.6890
5.6658,19.3332,29.2123
7.6194,16.1881,30.1279
5.5018,20.4711,27.9763
81.2481,80.7565,99.4334
10.3035,19.5370,22.7591
101.6007,6.5685,52.5915
13.0251,17.9954,28.5325
13.5188,19.8057,26.5502
100.2697,8.3777,50.1033
3.4616,22.9663,29.9709
8.9618,19.2570,28.2904
14.4350,24.4499,32.3023
72.3271,82.6274,101.8829
96.4155,7.3540,48.9582
53.0162,52.1654,66.4348
0.2391,16.5781,32.2752
10.1378,17.4752,22.6405
7.0472,18.4999,31.7397
95.1047,5.1724,53.5745
11.5371,14.8697,29.0228
12.2238,23.5110,25.1675
11.3841,23.6220,30.2233
8.3593,15.6318,34.0373
103.0246,7.1703,55.0291
12.5527,19.3847,30.6102
9.6670,20.1612,30.5281
8.5396,24.3198,31.5797
54.7969,53.3009,73.1386
46.7704,47.9258,73.1332
97.3676,5.6094,50.9573
76.0492,87.9573,95.8335
72.7936,76.2383,98.1110
9.6847,20.5790,27.0049
12.3876,12.7870,30.2896
48.2318,46.5404,65.9959
99.9448,11.4372,51.8792
9.6863,18.9278,25.7640
5.3158,20.8132,29.5566
103.7116,7.8094,50.9217
77.0723,78.5515,97.4165
51.5989,47.3047,69.3112
48.5582,53.1042,66.4238
77.1425,81.4688,103.6603
6.7544,21.8810,28.9088
11.0242,17.6101,28.3259
77.6922,77.9638,101.2194
50.6706,50.5470,72.3469
78.0526,77.6655,102.4730
70.2828,80.9752,96.6016
72.3303,83.1238,103.0476
76.5608,77.1673,100.7832
7.5831,20.2065,34.4853
71.5727,76.0248,102.8342
96.7422,8.9701,49.7834
102.1805,11.8876,43.2439
49.0140,48.3730,72.3741
51.2571,42.3598,66.8545
74.9127,78.5189,103.3354
5.3867,21.7281,32.0054
69.2804,81.0691,104.7890
12.2251,18.6604,28.7226
100.6378,6.8848,53.4554
75.4094,76.6265,95.1127
72.8891,79.3437,98.8734
78.8411,80.9135,98.3760
102.9726,4.9489,49.5180
7.3827,23.2917,31.3964
72.8624,78.5699,96.2135
11.1599,27.9890,30.5978
74.5806,80.8339,103.4979
49.7439,55.0144,70.2462
7.6251,19.8987,27.9299
72.9992,74.7527,104.8002
7.8381,22.2282,27.3918
10.0240,23.6855,32.3777
6.2257,19.0534,28.5187
103.5402,7.6348,55.2430
4.5038,18.5659,31.5073
11.8990,17.9277,26.7075
76.3451,83.1140,100.1834
12.0420,19.2447,28.8994
8.1088,19.1200,26.0314
50.4742,50.9173,68.4734
8.5819,18.4125,29.1541
5.7749,21.2935,29.6296
73.9605,81.0032,100.7694
5.5671,21.6856,31.1152
10.7106,19.3278,23.8126
49.4643,52.0570,69.9304
11.4961,20.7089,29.0883
97.5486,10.3495,48.8944
11.8257,22.5770,32.0037
11.8345,19.2571,31.3755
91.5972,7.9187,50.8852
7.5358,16.6043,32.5295
51.4848,47.4410,68.8766
50.6607,42.7961,68.9051
10.5454,18.7119,35.3748
14.4303,19.1645,31.2380
52.1504,45.5001,70.7314
74.3036,83.0225,103.1454
99.6221,7.3711,48.4628
5.1450,18.8356,29.7213
5.6531,21.8029,29.1286
106.4731,6.5402,47.1298
78.3754,80.8252,100.5830
49.3018,49.3647,68.5664
74.3251,84.5286,104.8641
12.8189,22.6922,33.7629
9.9574,19.0816,35.8327
100.5964,9.5438,48.6216
95.4881,10.9575,49.0001
75.5473,80.6967,96.6870
13.3575,12.5431,32.8856
15.1671,18.3052,26.8463
72.3151,82.5273,99.9854
72.9326,79.8377,99.4709
10.1601,16.3853,30.4641
71.8304,75.6480,99.0464
9.8535,13.4606,30.0183
47.3633,51.3856,68.4132
48.7165,45.4631,65.9182
44.9345,47.9825,75.9637
50.1708,46.7553,71.5789
11.9192,17.3162,26.4073
74.3808,82.8116,102.5361
9.8939,19.2301,22.3021
11.3808,24.7395,30.0692
70.6543,84.4355,98.1462
11.6530,27.4303,33.8085
71.7124,77.8998,100.7042
10.3168,18.7695,26.5704
51.8677,51.1306,63.3530
71.7293,76.1610,101.6789
72.7308,80.7486,97.2800
100.3139,0.7641,47.4243
9.6532,18.6667,35.4795
48.5212,48.8336,69.2424
13.2553,18.9335,27.3221
13.2783,20.8437,28.2128
74.7606,82.3928,100.0478
9.7606,18.9864,30.9650
75.4662,80.3555,99.5815
9.2535,18.9194,28.2727
10.9795,21.7273,30.2730
98.5356,12.5973,46.1690
10.9776,23.0023,35.8547
12.5125,21.2335,29.9978
75.6208,77.2170,97.2374
10.8233,21.4309,29.3696
97.0170,14.4594,55.2059
7.3404,19.1579,24.2223
55.6654,49.4104,68.3700
8.1181,26.5280,34.1475
14.0945,20.5560,30.6022
74.4389,82.1013,105.3164
96.3668,12.3002,48.5020
9.2120,20.8440,29.5507
14.3184,21.6894,30.2470
8.9650,18.6203,28.5232
11.2718,25.6990,32.5260
9.9671,23.0711,32.0390
8.9743,21.5756,29.2768
102.9917,12.7113,51.8320
107.7526,6.8903,52.6657
74.6320,80.4131,101.2096
12.3402,18.7690,35.7397
10.1334,19.1356,26.8211
12.0440,14.3970,34.2939
53.1168,51.6875,72.5798
71.5134,79.4688,93.9580
47.9541,48.3806,67.6377
7.3276,24.1531,26.3420
100.2445,9.9023,45.7070
95.4576,11.6261,51.6711
100.5480,7.5753,48.3763
106.9706,12.4773,50.1351
12.9878,24.0717,25.3612
72.3681,76.4198,103.3241
76.7402,74.2703,102.2199
9.1716,24.8990,30.8875
14.9994,19.3975,32.9021
12.0988,18.3092,22.0641
8.8067,21.1026,37.6366
78.8647,78.4416,96.2440
96.7939,10.0118,45.9575
3.3903,21.5344,25.2575
8.2495,17.3342,27.8685
68.4554,82.5358,96.9170
74.5136,86.4486,93.3768
14.5585,14.3123,30.5041
82.0617,74.8994,97.9883
77.6474,78.6487,96.7636
50.7508,51.3318,64.0920
73.1668,84.3278,97.5481
74.0594,78.6941,99.1542
11.2449,21.3189,29.6129
4.6524,22.4605,35.5375
75.9489,77.9330,97.7180
4.2407,16.4592,28.8972
7.2624,23.7853,29.0632
10.1531,26.3925,31.0838
102.1609,8.8223,50.8533
6.4170,17.4680,30.2086
48.6900,49.4648,78.2448
9.2018,24.1504,33.2591
72.7699,84.0380,93.1979
72.8449,77.7489,98.8835
77.8254,81.4962,96.8220
6.1443,22.9337,26.9059
14.5364,21.9979,30.9055
10.0224,15.1802,31.2968
97.6549,9.5000,49.5751
99.8851,6.7305,46.9616
67.4223,75.6608,104.8663
48.5191,52.4579,68.9611
9.6238,17.7977,29.5888
10.6427,20.7222,26.4827
9.5110,25.6104,29.6277
11.4208,18.9923,28.4901
102.4552,9.7043,51.4704
9.0986,20.3631,28.5010
52.4116,51.2888,69.7848
11.6375,19.8021,25.3439
73.8955,81.6366,97.8798
73.2556,81.3079,102.4331
7.4582,17.5649,25.6972
5.8933,23.8464,28.8235
12.4814,19.0336,29.9475
76.9194,79.5277,101.1052
96.6524,10.7846,51.3694
53.9790,52.5720,71.5635
6.4939,18.3011,35.4388
11.5358,15.4000,28.8972
77.7030,79.4778,101.6315
12.2466,18.9223,33.1401
7.2124,19.2363,29.3288
52.6169,46.3195,68.4778
17.0143,16.4972,30.1867
9.4287,19.0194,27.0462
7.1290,18.0942,30.8687
7.8138,22.1975,29.9069
10.4948,23.4951,26.8262
10.6970,25.0615,27.5749
103.0568,7.9964,53.0906
99.8339,8.7135,51.5647
101.0387,15.5770,54.3411
78.7709,80.5916,94.9484
9.1802,19.7628,25.6510
14.2752,20.7938,30.1673
9.0697,20.4801,25.6488
8.1064,22.4443,33.5975
97.3489,10.2383,46.2099
13.3389,19.7684,29.7132
8.7854,22.6893,29.6158
9.4649,17.3699,28.1667
11.1575,25.3924,31.8762
99.3453,19.0921,53.7584
99.7640,9.4802,48.5574
11.1041,23.6379,30.2481
99.7839,14.9379,53.6182
10.3491,18.2958,31.5368
10.9860,20.8480,31.4175
50.6905,47.0678,74.6168
97.6167,8.5188,47.0314
51.9002,51.2808,69.0421
11.9914,15.4764,29.2491
7.7846,19.4287,30.2084
10.4133,20.2375,28.2972
71.8621,71.5613,106.2744
73.4491,80.2739,100.4279
12.0130,15.6017,31.4367
79.6598,80.0807,98.3472
75.2121,77.7301,98.1525
9.9157,21.6562,30.1817
11.8138,16.4065,32.1544
10.6413,21.5880,31.6394
4.2141,18.4077,38.9896
97.6419,8.4875,50.6606
53.0423,53.6459,69.2485
14.4210,23.7127,28.4826
82.7665,80.9410,94.8967
10.1274,19.2193,32.4582
12.6886,20.5911,32.4443
48.5329,53.4682,74.5855
102.8540,5.3535,50.5291
100.5271,15.3232,48.7521
77.2267,77.3350,94.9545
53.3505,50.8976,76.1512
6.8137,16.1289,26.2687
93.9388,10.7764,53.1711
49.6119,49.9471,69.9626
51.3880,51.7083,72.6974
72.3401,83.0351,94.1360
79.7166,77.5835,106.0738
8.9809,16.5056,28.0627
13.1965,17.7899,27.4307
6.6811,18.7939,28.0937
98.8246,7.4530,50.3267
8.3688,25.4435,33.7715
74.7069,81.1302,100.9145
9.7910,17.2168,29.3207
5.2668,26.0307,34.1705
78.2519,74.6787,98.6283
100.3247,11.4687,43.8926
13.9963,20.7003,30.1815
99.5489,16.7678,50.3802
74.5252,84.3109,96.0092
81.0863,86.4909,100.9813
6.1653,20.0227,25.3196
8.8524,20.0203,27.1434
54.8819,48.4677,68.9769
9.9961,22.5431,31.4764
73.5710,80.4386,98.9545
101.7865,8.2429,56.4645
95.7727,10.6413,47.2280
73.3454,84.4218,98.5999
77.1063,83.9878,101.9839
8.9417,24.2882,29.3078
48.5470,53.3398,71.4066
68.8593,81.5752,96.2114
48.8125,52.7301,70.0226
10.5850,18.0197,26.3694
12.1097,21.5371,30.8771
10.2850,21.0025,34.2877
5.9416,19.9236,36.3942
4.8427,15.2666,22.9905
49.3725,50.3278,77.4502
99.3118,11.7749,53.4009
48.5373,48.9654,67.0480
4.6217,20.8015,26.3518
79.2981,83.1078,105.8129
71.7662,78.5644,96.8160
13.4843,20.8235,25.3275
73.3375,74.6987,97.8420
6.5298,21.3429,35.0143
9.3611,21.2461,35.0533
77.1823,85.5720,101.4907
102.6994,8.2438,47.1181
8.0349,19.8458,33.9714
7.1606,21.6868,32.4472
73.6080,77.7765,100.8477
11.1055,22.5998,27.0241
98.5342,13.3823,45.9645
3.8937,19.7765,30.7511
94.7836,6.4954,47.2090
73.7109,77.3238,101.0890
72.3488,84.9456,105.0762
10.3009,20.7547,24.9309
9.7835,23.4748,34.5903
76.8517,74.9209,95.2699
69.9769,79.7407,95.3203
50.0390,49.6570,67.0166
7.8475,14.9011,33.4664
72.4800,75.9546,100.3054
11.1443,22.3363,28.0111
79.6391,81.2282,103.5166
76.9117,79.1624,101.7441
4.6259,19.9728,29.4514
73.6842,84.1186,98.4899
73.4577,80.2656,94.0290
75.7397,77.6984,102.6595
75.6177,83.9796,97.2806
75.6838,81.8054,99.7426
100.1659,10.7304,47.8980
46.8203,52.0353,70.2080
10.8074,21.5209,34.4532
79.1305,78.5164,101.5313
55.6221,49.9807,69.2398
76.4031,80.6018,100.9359
9.4427,18.1442,32.8916
9.1538,21.8681,31.0992
11.1964,17.9283,30.9736
13.1209,13.2127,35.9429
76.1577,79.3725,98.8232
76.6814,79.7478,100.1243
46.7606,45.5832,69.2869
96.3400,16.0986,50.7889
101.8362,5.2951,52.3468
77.0437,79.0224,100.6577
96.2280,7.0226,52.3353
50.0196,50.3447,70.3870
8.2406,25.7662,27.2878
10.9315,17.8011,30.6181
49.2999,51.5691,69.9512
8.4034,16.5882,27.8833
3.2308,21.8870,27.1625
12.0498,23.9342,28.4801
101.9748,12.5945,51.6239
7.7980,15.8823,30.7069
7.6918,20.6006,29.0868
80.8742,79.8690,99.4859
104.8599,10.6737,51.7263
99.9202,15.0546,52.3749
8.0064,19.5548,30.3457
9.0571,21.9459,28.5375
106.7531,17.1728,48.6978
100.0671,-0.5193,49.8561
77.0645,75.7875,100.3121
7.1050,19.8338,27.1494
12.5233,20.9565,28.5292
10.7415,21.5155,28.5391
7.8366,18.8862,28.2736
105.1041,10.7603,46.9142
50.3698,51.7518,71.1163
7.1681,13.0541,29.3444
70.7040,79.7756,105.0405
102.6557,12.4473,45.9220
79.8456,83.8036,100.3120
52.7626,52.2670,63.0879
11.0302,16.4507,32.1299
81.1752,80.2588,96.5090
5.7893,20.0690,27.4224
10.8780,24.3365,30.2034
49.9931,51.3354,69.0470
98.7216,12.1567,51.1560
76.3022,82.1604,96.1681
104.6286,10.6785,51.5655
16.8363,21.0690,29.8668
13.7192,22.2132,30.0711
6.9632,19.7907,30.8188
10.6226,17.2764,27.3451
9.5212,22.6622,26.7123
76.7768,81.1246,104.8884
11.4403,16.7922,26.0950
99.2465,7.3680,49.7421
72.0588,72.5159,102.1620
101.9342,9.1412,52.1995
99.2448,12.7021,45.2308
13.9417,23.0717,25.9578
12.1508,22.4009,27.8842
72.6273,80.3292,102.7421
97.7565,6.8270,46.5102
73.1501,84.4461,101.3238
9.3549,15.5655,31.0363
11.9276,16.5621,30.5264
98.6963,13.1284,51.0791
13.1785,18.0565,29.1546
3.5729,21.7971,24.5908
5.9571,21.0451,30.3069
6.0277,22.6232,27.8341
78.8514,88.0247,100.0464
103.0491,11.8449,54.7912
75.5297,79.2946,101.3138
13.8779,21.3413,26.2168
99.2423,13.8520,53.1622
101.0894,20.6049,49.5754
12.0388,19.2638,27.4101
12.0328,23.4925,27.3381
10.3062,16.5963,34.0070
98.3216,10.5122,50.0857
9.3166,19.8928,31.8319
10.0483,16.9208,31.4877
80.0370,79.2114,98.7596
96.6031,16.0914,53.4258
48.3107,50.1283,69.6919
13.6430,23.9546,20.7644
10.8127,20.7440,27.1733
13.4759,16.3095,25.9769
99.8000,6.1569,50.3049
49.1575,50.3155,75.2793
103.2975,13.6078,48.4358
9.8476,20.8200,28.9076
10.4552,22.4098,28.2360
74.4505,81.6353,98.0677
74.3473,82.5840,100.1580
9.5468,21.7246,31.3075
7.0581,18.5306,36.7236
4.2334,25.0511,33.7377
71.0588,78.8887,98.2969
78.0818,82.3388,107.3640
74.3221,81.2481,100.2959
97.5189,12.2975,50.5454
10.0387,24.9887,25.3519
55.2490,55.3107,68.2195
14.7854,15.2357,34.1735
98.8346,12.0715,51.1059
77.0646,79.2852,103.4808
10.1737,17.0358,27.1228
100.8289,4.5147,49.1395
13.8719,21.7216,33.2064
100.0904,10.6803,51.1087
11.2070,25.9547,27.4549
11.0307,19.6605,30.8197
4.8263,19.9423,29.1363
94.6243,13.7387,46.1068
12.1830,19.2428,30.0834
78.7265,83.0492,100.2733
67.6787,77.0658,98.0027
10.3301,17.8921,34.1949
4.4615,17.4669,34.3148
13.7495,18.2547,30.0299
13.1368,21.9388,29.2838
6.4979,23.6661,28.9751
97.8509,9.3252,51.1667
6.8203,22.5364,32.5570
9.1705,19.1861,25.7039
69.9434,79.7545,97.8384
46.4965,49.5622,69.8423
8.6714,16.4439,30.2809
9.5006,20.3234,28.8972
9.6172,19.4441,29.6218
7.9288,18.3498,30.6219
49.6505,48.7302,72.7934
6.5823,24.3737,26.9190
100.3944,15.9068,47.6332
74.2665,81.9270,100.7138
52.3233,49.9769,69.4900
